kategorie,episode,MMM-Forum-Link,wiki_url,Wiki-AT-Link Fixed,AT-Forum-Link (neu),AT-Forum-Link (alt),Longplay-Link
MMM-Episodenführer,Episode 75: Das Necronomicon,https://www.maniac-mansion-mania.de/forum/index.php?topic=1091.0,http://wiki.maniac-mansion-mania.de/wiki/Das_Necronomicon,,https://www.adventure-treff.de/forum/topic/14248,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=14248,https://www.youtube.com/watch?v=9QW5puUvA2A&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=108
MMM-Episodenführer,Episode 76: The Bernoulli-Show,https://www.maniac-mansion-mania.de/forum/index.php?topic=1224.0,http://wiki.maniac-mansion-mania.de/wiki/The_Bernoulli-Show,,https://www.adventure-treff.de/forum/topic/15223,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=15223,https://www.youtube.com/watch?v=cpECJzkBemA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=109
MMM-Episodenführer,Episode 77: Schwer verquer,https://www.maniac-mansion-mania.de/forum/index.php?topic=1235.0,http://wiki.maniac-mansion-mania.de/wiki/Schwer_verquer,,https://www.adventure-treff.de/forum/topic/15381,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=15381,https://www.youtube.com/watch?v=MHdXD6o6fME&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=110
MMM-Episodenführer,Episode 78: Dumm geholfen,https://www.maniac-mansion-mania.de/forum/index.php?topic=1275.0,http://wiki.maniac-mansion-mania.de/wiki/Dumm_geholfen,,https://www.adventure-treff.de/forum/topic/15685,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=15685,https://www.youtube.com/watch?v=c6D-XUvBWGA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=112
MMM-Episodenführer,Episode 79: Der Wunsch-O-Mat,https://www.maniac-mansion-mania.de/forum/index.php?topic=1560.0,http://wiki.maniac-mansion-mania.de/wiki/Der_Wunsch-O-Mat,,https://www.adventure-treff.de/forum/topic/17010,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=17010,https://www.youtube.com/watch?v=2WrMdPK1DtA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=113
MMM-Episodenführer,Episode 80: Spiel des Lebens,https://www.maniac-mansion-mania.de/forum/index.php?topic=1725.0,http://wiki.maniac-mansion-mania.de/wiki/Spiel_des_Lebens,,https://www.adventure-treff.de/forum/topic/17523,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=17523,https://www.youtube.com/watch?v=WCP6YiR1AyY&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=114
MMM-Episodenführer,Episode 81: Bernard bricht aus!,https://www.maniac-mansion-mania.de/forum/index.php?topic=1812.0,http://wiki.maniac-mansion-mania.de/wiki/Bernard_bricht_aus,,https://www.adventure-treff.de/forum/topic/17834,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=17834,https://www.youtube.com/watch?v=6FSldSPAH7g&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=116
MMM-Episodenführer,Episode 82: Freundin mit Hindernissen,http://www.maniac-mansion-mania.de/forum/index.php?topic=1842.0,http://wiki.maniac-mansion-mania.de/wiki/Freundin_mit_Hindernissen,,,,https://www.youtube.com/watch?v=b9GViZptzMU&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=117
MMM-Episodenführer,Episode 83: Chasing Hoagie,https://www.maniac-mansion-mania.de/forum/index.php?topic=1903.0,http://wiki.maniac-mansion-mania.de/wiki/Chasing_Hoagie,,https://www.adventure-treff.de/forum/topic/18260,http://www.adventure-treff.de/forum/viewtopic.php?f=16&t=18260,https://www.youtube.com/watch?v=SlMhBUbriQA&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=118
MMM-Episodenführer,Episode 84: Surf'n'Ronville,http://www.maniac-mansion-mania.de/forum/index.php?topic=1904.0,http://wiki.maniac-mansion-mania.de/wiki/Surf%22n%22Ronville,,,,https://www.youtube.com/watch?v=NmNSF41C45g&list=PLF3YnSazju8E_2kO3nKy7oloZHG80C5l5&index=119
